Category,Title,Text
Կորոնավիրուս,ԱՀԿ-ը Չինաստանին խնդրում է համագործակցել COVID-19-ի ծագումը պարզելու հարցում," Առողջապահության համաշխարհային կազմակերպությունը (ԱՀԿ) վստահ է՝ Չինաստանը զգալի տեղեկատվություն ունի, որը կարող է լույս սփռել COVID-19-ի ծագման վրա, և Պեկինից պահանջել է անհապաղ հասանելի դարձնել համապատասխան տվյալները։«Առանց Չինաստանի ունեցած տեղեկատվության լիարժեք հասանելիության ցանկացած վարկած կարելի է դիտարկել», - Ժնևում հայտարարել է ԱՀԿ ղեկավար Թեդրոս Ադհանոմ Գեբրեյեսուսը՝ շարունակելով. - «Ուստի մենք խնդրում ենք Չինաստանին այս հարցում համագործակցել»։Նրա խոսքով՝ եթե Պեկինը տրամադրի պակասող տվյալները, «մենք կիմանանք, թե ինչ է տեղի ունեցել կամ ինչպես է դա սկսվել»։COVID-19-ի ի հայտ գալուց ավելի քան երեք տարի անց համաճարակի ծագումը դեռ թեժ վիճարկվում է։Այս հարցը պառակտել է գիտական հանրությունը՝ ոմանք հավատում են այն տեսությանը, որ վիրուսը բնական ճանապարհով կենդանիներից փոխանցվել է մարդկանց, իսկ մյուսները ենթադրում են, որ վիրուսը դուրս է եկել Ուհանի լաբորատորիայից, ինչը Չինաստանը կտրականապես հերքում է:    "
Կորոնավիրուս,ԱՄՆ նախագահը ստորագրեց COVID-19-ի արտակարգ դրության վերացման օրենքը," Միացյալ Նահանգների նախագահ Ջո Բայդենը հավանություն է տվել կորոնավիրուսի տարածման պատճառով երկրում սահմանված արտակարգ դրության վերացմանը։ Այս մասին հայտնում է Սպիտակ տան մամուլի ծառայությունը։«Երկուշաբթի օրը՝ 2023 թվականի ապրիլի 10-ին, նախագահը ստորագրեց օրենքը, որով ավարտվում է COVID-19 համաճարակի պատճառով սահմանված ազգային մասշտաբով արտակարգ դրության ռեժիմը», - ասված է հաղորդագրությունում։ԱՄՆ-ում 2020 թվականի մարտին նախագահ Դոնալդ Թրամփի կողմից հայտարարվել էր հանրային առողջության արտակարգ իրավիճակ։
Այն թույլ է տվել վարչակազմին լրացուցիչ ռեսուրսներ օգտագործել կորոնավիրուսի տարածման դեմ պայքարում, այդ թվում՝ առանց Կոնգրեսի համաձայնության։    "
Կորոնավիրուս,"ԱՄՆ հետախուզությանը հանձնարարվել է կորոնավիրուսի ծագման մասին տեղեկություններ գաղտնազերծել
"," Միացյալ Նահանգների նախագահ Ջո Բայդենը երեկ օրենք է ստորագրել, ըստ որի՝ Ազգային հետախուզությանը հանձնարարվում է գաղտնազերծել կորոնավիրուսի ծագման մասին որոշ տեղեկություններ, հաղորդում է Սպիտակ տունը։«Մենք պետք է ամեն ինչ պարզենք՝ համոզվելու համար, որ կարող ենք ավելի լավ կանխել համաճարակներն ապագայում: Իմ վարչակազմը կշարունակի ուսումնասիրել կորոնավիրուսի ծագման հետ կապված բոլոր գաղտնի տեղեկությունները՝ ներառյալ այն վարկածը, որ վիրուսը կապված է Ուհանի Վիրուսաբանության ինստիտուտի հետ», - ընդգծել է Բայդենը։Ավելի վաղ ԱՄՆ Ներկայացուցիչների պալատը և Սենատը քվեարկել էին COVID-19-ի ծագման վերաբերյալ ամերիկյան հետախուզության տվյալները գաղտնազերծելու օգտին, ինչից հետո օրինագիծն ուղարկվել էր նախագահ Բայդենին՝ ստորագրման։     "
Կորոնավիրուս,ՀԴԲ տնօրեն. Covid-19-ը ենթադրաբար ծագել է չինական կառավարության վերահսկած լաբորատորիայում," Միացյալ Նահանգների Հետաքննությունների դաշնային բյուրոյի (ՀԴԲ, FBI) տնօրեն Քրիսթոֆեր Ռեյը հայտարարել է, որ Covid-19-ն «ամենայն հավանականությամբ» ծագել է «չինական կառավարության կողմից վերահսկվող լաբորատորիայում»:«ՀԴԲ-ն արդեն բավական ժամանակ գնահատել է, որ համաճարակի ծագումը, ամենայն հավանականությամբ, պոտենցիալ լաբորատոր միջադեպ է», - Fox News-ին ասել է բարձրաստիճան պաշտոնյան:Չինաստանը հերքել է Ուհանի (նաև՝ Վուհան) լաբորատորիայից արտահոսքի վերաբերյալ մեղադրանքը՝ այն անվանելով զրպարտություն:Ավելի վաղ՝ երկուշաբթի օրը, Սպիտակ տան Ազգային անվտանգության խորհրդի խոսնակ Ջոն Քիրբին ասել է, որ ԱՄՆ կառավարությունը վերջնական եզրակացության և կոնսենսուսի չի եկել համաճարակի ծագման վերաբերյալ:Ուհանի շուկան, որտեղից սկսել է վիրուսի տարածումը, 40 րոպե հեռավորության վրա է գտնվում աշխարհում առաջատար վիրուսային լաբորատորիայից՝ Ուհանի վիրուսաբանության ինստիտուտից, որը հետազոտություն է անցկացրել կորոնավիրուսների վերաբերյալ:     "
Կորոնավիրուս,ԱՄՆ-ում նորից խոսում են կորոնավիրուսի «չինական հետքի» մասին," Միացյալ Նահանգներում կենսաբանական լաբորատորիաների, այդ թվում կենսաբանական տեխնոլոգիաներ հետազոտող կենտրոնների գործունեությունը հսկող էներգետիկայի նախարարությունը երկարատև ուսումնասիրությունների արդյունքում հանգել է այն եզրակացության, որ աշխարհն անցած տարիներին պատուհասած կորոնավիրուսը գուցեև ունի լաբորատոր ծագում և պատահմամբ սպրդել ու տարածվել է Վուհանի (կիրառվում է նաև Ուհան անունը) աշխատանոցից:Ամերիկյան գերատեսչությունն ընդգծում է, որ խոսքը ոչ թե ապացուցված փաստի, այլ վարկածի մասին է, որի հավանականությունն այնուամենայնիվ բավական մեծ է:Հետաքննությունների դաշնային գործակալությունը դեռ 2021-ին է պնդել, որ «հավանականության միջին աստիճանով՝ վիրուսը կարող էր տարածվել չինական լաբորատորիայից»:Ամերիկյան մի շարք այլ կառույցներ նույն ժամանակաշրջանում ենթադրել են, որ վիրուսն ունի բնական ծագում և կենդանուց մարդուն է փոխանցվել:Կենտրոնական հետախուզական վարչությունը վիրուսի բնական կամ արհեստական ծագման վարկածներից որևէ մեկին նախապատվություն չի տվել:Կորոնավիրուսի կայծակնային տարածումը մեծ խուճապ է ստեղծել աշխարհում, մոտ 7 միլիոն մարդու կյանք է խլել, դարձել է քաղաքական, տնտեսական, գիտական, սոցիալական բազում վեճերի առիթ, հանգեցրել է կարանտինների և տնտեսական անկումների:Դեռ հանրապետական նախագահ Դոնալդ Թրամփն է կորոնավիրուսն անվանել «չինական», ինչը մեծ վրդովմունքով է ընդունվել Պեկինում:Դեմոկրատական նախագահ Ջո Բայդենի օրոք այդ եզրույյթը չի կիրառվում: Բայց վիրուսի ծագման ուսումնասիրությունը շարունակվում է: Կարելի էր ենթադրել, որ ԱՄՆ-ի էներգետիկայի նախարարության փորձագետների հրապարակած նոր գնահատականն էլ զայրույթ կառաջացնի Չինաստանում:«Հարկ է նշել, որ COVID-19 հիվանդության հարուցիչի ծագումը գիտության հարց է և չպետք է քաղաքականացվի: Չինաստանը մշտապես ակտիվորեն մասնակցել է վիրուսի ծագման համաշխարհային հետազոտություններին: Չինաստանի և Առողջապահության համաշխարհային կազմակերպության փորձագետները համատեղ հետազոտությունների ավարտին հայտնել են, թե Վուհանի աշխատանոցներից վիրուսի տարածման հավանականությունը չնչին է», - հայտարարել է Չինաստանի արտաքին գործերի նախարարության խոսնակ Մաո Նինգը:Չնշելով կոնկրետ ԱՄՆ-ի էներգետիկայի նախարարության անունը, խոսնակը կոչ է արել «տարբեր կառույցներին դադարեցնել վիրուսի լաբորատոր ծագման վարկածի շահարկումը և Չինաստանի վարկաբեկումը»:Կորոնավիրուսով ախտահարման առաջին դեպքերը գրանցվել են Վուհանում, և դեռ այն ժամանակ են շատերը պնդել, որ վիրուսի տարածման աղբյուրը Վուհանի վարակաբանության ինստիտուտն է, քանի որ հենց դրա աշխատանոցում են վիրուսն ուսումնասիրել չղջիկների վրա:Ըստ մեկ վարկածի՝ վիրուսը բնական ճանապարհով է ծագել ,և այն սկսել են հետազոտել աշխատանոցում, ըստ երկրորդ վարկածի՝ հենց չինացի գիտնականներն էլ այն ստեղծել են, ապա վարակը պատահմամբ տարածվել է:Սակայն գիտնականների աշխարհում առավել մեծ թվով աջակիցներ ունի վարկածը, որի համաձայն՝ վիրուսի ծագումը բնական է, իսկ տարածման աղբյուրը Վուհանի չարաբաստիկ շուկան է, որտեղ որպես սննդամթերք վաճառել են չղջիկներ, մողեսներ, ջրարջեր և էկզոտիկ այլ կենդանիներ:Հենց այդ շուկայի աշխատողներն են եղել տարօրինակ ախտանիշով հիվանդանոցներ այցելած առաջին բուժառուները:   "
Կորոնավիրուս,ԱՀԿ-ը կորոնավիրուսի համավարակն ավարտված չի համարում," Առողջապահության համաշխարհային կազմակերպությունը (ԱՀԿ) հունվարի 30-ին հանդես է եկել հայտարարությամբ կորոնավիրուսի համավարակի ներկայիս իրավիճակի վերաբերյալ։ ԱՀԿ-ը համավարակն ավարտված չի համարել՝ դեռևս պահպանելով ծայրահեղ իրավիճակի միջազգային նշանակության կարգավիճակը։Համավարակի երեք տարվա առիթով ԱՀԿ-ի կորոնավիրուսի արտակարգ կոմիտեի նիստում նշվել են Covid-19-ի դեմ պայքարի հաջողությունները, բայց համավարակի ավարտի մասին խոսելը դեռ վաղ է համարվել։Այս դիրքորոշման վրա ազդեցություն է ունեցել Չինաստանում վերջերս տեղի ունեցած համավարակի նոր բռնկումը, որն արձանագրվեց կարանտինային միջոցների մեծ մասը չեղարկելուց հետո։Նոր տեսակի կորոնավիրուսի մասին առաջին հաղորդագրություններն ի հայտ եկան 2019 թվականի դեկտեմբերից։ Երեք տարվա ընթացքում ավելի քան 670 միլիոն մարդ վարակվել է կորոնավիրուսով, հիվանդությունից շուրջ 6 միլիոն 800 հազար մարդ է մահացել։   "
Կորոնավիրուս,Մայիսի 11-ից ԱՄՆ-ում կդադարի գործել COVID-19-ի պատճառով արտակարգ դրությունը," Երեկ ԱՄՆ նախագահ Բայդենի վարչակազմը հայտարարեց, որ մայիսի 11-ից կհանվի արտակարգ դրությունը՝ պայմանավորված COVID-19 համաճարակով։Սա տեղի է ունենում Միացյալ Նահանգների՝ համավարակի վերահսկման կտրուկ միջոցներ ներդնելուց մոտ երեք տարի անց: Կորոնավիրուսի համաճարակի հետ կապված արտակարգ իրավիճակ էր հայտարարվել 2020 թվականին այն ժամանակվա նախագահ Դոնալդ Թրամփի կողմից: Ջո Բայդենը բազմիցս երկարացրել է միջոցառումները:Սպիտակ տան հայտարարության մեջ ասվում է, որ նախագահի հրամանը, որի ժամկետը լրանում է առաջիկա ամիսներին, ևս մեկ անգամ կերկարաձգվի մինչև մայիսի 11-ը, որից հետո ուժը կկորցնի։ "
Կորոնավիրուս,Կորոնավիրուսի թվերն աշխարհում կտրուկ նվազում են," Կորոնավիրուսային համաճարակի թվերն աշխարհում 2023 թվականի սկզբից կտրուկ նվազում են:Worldometers կայքի փոխանցմամբ՝ վերջին մեկ շաբաթում հիվանդության նոր դեպքերի թիվը նախորդ շաբաթվա համեմատ նվազել է 35 տոկոսով՝ կազմելով շուրջ1,55 միլիոն:Նույն ժամանակահատվածում վարակից մահացածների թիվը նվազել է 26 տոկոսով՝ կազմելով 10 հազար 835, բուժվածներինը՝ 9 տոկոսով՝ կազմելով մոտ 2,4 միլիոն:Ապաքինվածների քանակը շուրջ 830 հազարով գերազանցում է նոր վարակվածներինը:Հայաստանի առողջապահության նախարարությունը Ամանորի տոներից հետո կորոնավիրուսի վերաբերյալ տվյալներ չի հրապարակել:Ընդհանուր առմամբ աշխարհում կորոնավիրուսով վարակվել է շուրջ 603,5 միլիոն մարդ, ապաքինվել՝ շուրջ 645,5 միլիոնը, մահացել է 6 միլիոն 748 հազար 120-ը: Տվյալ պահին աշխարհում Covid-19-ով վարակված է ավելի քան 21,24 միլիոն մարդ:   "
Կորոնավիրուս,"Պեկինը քննադատում է չինացի ճամփորդողների համար քովիդի սահմանափակումներ մտցրած երկրներին
"," Այսօր Չինաստանի արտգործնախարարության մամուլի խոսնակ Մաո Նինը ամենօրյա ճեպազրույցում զգուշացրել է, որ չինացի ճամփորդողների համար քովիդի սահմանափակումներ մտցրած երկրների հանդեպ Չինաստանը հակամիջոցներ կձեռնարկի փոխադարձության սկզբունքի վրա հիմնված։ Նրա խոսքերով՝ գիտական տեսակետից այդ երկրների պահանջներն անընդունելի են։ԱՄՆ-ը, Կանադան, Հնդկաստանը, Ճապոնիան, Ավստրալիան, ինչպես նաև մի շարք եվրոպական երկրներ սահմանափակումներ են մտցրել Չինաստանից ժամանողների համար՝ մասնավորապես պահանջելով ներկայացնել քովիդի թեստի բացասական պատասխան։Անցած դեկտեմբերից Չինաստանը վերացրել է ներքին սահմանափակումները, ինչից հետո երկրում քովիդի նոր ալիք է բարձրացել։ "
Կորոնավիրուս,"Հայաստանում անցած մեկ շաբաթում կորոնավիրուսի դեպքերի թիվն ավելացել է 37-ով, բուժվածներինը՝ 46-ով"," Հայաստանում անցած մեկ շաբաթում կորոնավիրուսի դեպքերի թիվն ավելացել է 37-ով՝ հասնելով 445 հազար 976-ի, մահվան 2 դեպք է գրանցվել, հաղորդում է Առողջապահության նախարարությունը:

Նույն ժամանակամիջոցում բուժվածների թիվն ավելացել է 46-ով՝ հասնելով 435 հազար 162-ի:

Իրականացվել է 1023 թեստավորում, ընդհանուր թիվը հասավ 3 միլիոն 242 հազար 901-ի։

Հիվանդությունից մահացածների ընդհանուր թիվը 8 հազար 716 է:

COVID-19-ից տվյալ պահին Հայաստանում բուժվում է 232 մարդ:Դեկտեմբերի 25-ի դրությամբ, Հայաստանում կատարվել է կորոնավիրուսի դեմ ընդհանուր 2 միլիոն 279 հազար 743 պատվաստում։ Առաջին դեղաչափը ստացել է 1 միլիոն 156 հազար 287 մարդ, ամբողջությամբ պատվաստվել է 1 միլիոն 31 հազար 771 քաղաքացի, բուստեր ստացել է 85 հազար 459 մարդ, փոխանցում է առողջապահական գերատեսչությունը:"
