Category,Title,Text
ՏՏ ոլորտ,"Կուլեբա. «Սոցիալական մեդիան մի առանձին ռազմաճակատ է, որտեղ պարտավոր ես շատ լուրջ կռվել»"," Ուկրաինայի արտաքին գործերի նախարար Դմիտրո Կուլեբան Լոնդոնում անցկացվող Փափուկ ուժի համաշխարհային գագաթնաժողովի մասնակիցներին հասցեագրված տեսաուղերձում խոսել է սոցիալական ցանցերում հաղթանակի տեսլականն առաջ տանելու կարևորության մասին:«Ամենաբարդը հայեցակարգ հստակ ձևակերպելն է և այն գերակայող դարձնելը: Պատերազմը ճակատամարտերի շարան է` դու կարող ես մեկը տանուլ տալ, մեկը շահել, բայց կարևորը պատերազմում հաղթելն է: Անհրաժեշտ է հստակ սահմանում, որ Ուկրաինան ի զորու է հաղթել», - ասել է Կուլեբան:Նրա համոզմամբ` Ուկրաինայի հստակ հաղթանակի հայեցակարգի հաստատումը սոցիալական ցանցերում կօգնի բարձր մակարդակի վրա պահել դաշնակիցների աջակցությունը և վնասազերծել բացասական ազդեցությունը, որ կարող են հանրային կարծիքի վրա գործել ռազմաճակատից ստացվող լուրերը:«Ե՛վ շարքային մարդիկ, և՛ քաղաքական գործիչները ներկա են սոցցանցերում: Հենց այդ պատճառով էլ սոցցանցերն ունեն շատ մեծ նշանակություն: Սոցիալական մեդիան մի յուրօրինակ առանձին ռազմաճակատ է, որտեղ պարտավոր ես շատ լուրջ կռվել: Ընդ որում Facebook-ը, Instagram-ը և TikTok-ը միմյանցից տարբերվում են: Սա շատ կարևոր հարց է», - ասել է Կուլեբան:Նախարարի խոսքով, մի առիթով նա աֆրիկացի մի քաղաքական գործչի հարցրել է, թե արդյո՞ք երիտասարդները ականջալուր են լինում իրենց ցեղապետերի կոչերին: Քաղաքական գործիչն ասել է, թե այսօր երիտասարդներն առաջնորդվում են Whatsapp-ի և Instagram-ի հաղորդած տեղեկատվությամբ:«Երբ իրականությունը հասնում է այդ կետին, դու հասկանում ես, որ անհրաժեշտ է չափազանց լուրջ ընդունել սոցիալական մեդիայի գործոնը», - հայտարարել է Կուլեբան:  "
ՏՏ ոլորտ,Հայաստանը սատարում է ազգային տիրույթների ստեղծման նախագծին միանալու Ռուսաստանի առաջարկին․ Փաշինյան," Հայաստանի ՏՏ ոլորտում շրջանառությունը 2022 թվականին աճել է ավելի քան 50 տոկոս, այսօր ասել է վարչապետ Նիկոլ Փաշինյանը՝ Ալմաթիում՝ «Թվային գործընկերությունը նոր իրականությունում» թվային համաժողովի լիագումար նիստին։Վարչապետը նաև ընդգծել է՝ տեղեկատվական տեխնոլոգիաների և կապի ոլորտի տեսակարար կշիռը Հայաստանի ՀՆԱ-ում հետևողականորեն աճում է։ Կառավարությունը, Փաշինյանի խեսքով, պետական աջակցություն է ցուցաբերում ՏՏ բիզնեսին՝ շեշտելով՝ անցյալ տարի ավելի քան 1000 ստարտափ ստացել է զգալի հարկային արտոնություններ։«Մեզ համար կարևոր խնդիր է մնում եվրասիական ինտեգրման տարածքում միասնական թվային տարածության ձևավորման հարցը։ Այս համատեքստում, ցանկանում եմ նշել տեղեկատվության փոխանակման միջպետական համակարգի գործիքների, ինտեգրացիոն էֆեկտով թվային նախագծերի ստեղծման և զարգացման արդիականությունն ու մեծ պահանջարկը», - ասել է Հայաստանի գործադիրի ղեկավարը։Շեշտելով, որ Հայաստանը սկսել է ավելի լայն և խորը օգտագործել թվային մեխանիզմներն ինչպես համավարակի, այնպես էլ՝ ապագայում նմանատիպ բնույթի հնարավոր ճգնաժամերի հետևանքների հաղթահարման նպատակով՝ գործադիրի ղեկավարը հայտարարել է՝ Հայաստանը սատարում է Ռուսաստանի կառավարության առաջարկը՝ միանալ ազգային տիրույթների ստեղծման նախագծին և աջակցել բարձր որակավորում ունեցող կադրերի ներգրավմանը՝ ի շահ ազգային տնտեսությունների և, ընդհանուր առմամբ, ԵԱՏՄ-ի տնտեսությունների աճի։Գործադիրի ղեկավարը վերահաստատել է՝ թվային տնտեսության զարգացումը Հայաստանի համար եղել և մնում է կարևորագույն առաջնահերթություններից մեկը։Փաշինյանը խոսել է «Ճանապարհորդում եմ առանց Covid-19», «Աշխատանք ԵԱՏՄ-ում» բջջային հավելվածներից։«Ճանապարհորդում եմ առանց Covid-19» բջջային հավելվածում ներբեռնված 5 միլիոն թեստերը նշանակում են 5 միլիոն ուղևորություն։«Իսկապես հսկայական թիվ է: Հավելվածը կայացել է Ռուսաստանի Դաշնության և Հայաստանի Հանրապետության կառավարությունների ակտիվ աջակցության շնորհիվ, որոնք գործարկել են փորձնական ծրագիրը, որն էլ դարձել է ինը երկիր ներգրավող լիարժեք նախագիծ», - ասել է վարչապետը՝ կարծիք հայտնելով, որ հավելվածը «լավ հիմք է ստեղծում միջսահմանային թվային բժշկության զարգացման, տեղեկատվության փոխանակման և «բժշկական քարտերի» թվայնացման համար՝ ազգային պահանջներին համապատասխան և անձնական տվյալների լիարժեք պաշտպանությամբ»։Գործադիրի ղեկավարն առաջարկել է քննարկել հավելվածի՝ որպես «համաճարակաբանական վահան» գործիք և բժշկական տեղեկատվության փոխանցման վստահության մեխանիզմ օգտագործելու հեռանկարները։Անդրադառնալով «Աշխատանք ԵԱՏՄ-ում» թվային հարթակին՝ Փաշինյանը տեղեկացրել է, որ թեև բջջային հավելվածի ռուսական տիրույթը սկսել է գործել 2022-ին, սակայն այսօր հավելվածում հասանելի է նաև Հայաստանի ազգային տիրույթի առաջին ամբողջական տարբերակը։«Հավելվածի օգտատերերն արդեն կարող են գտնել թափուր աշխատատեղեր, արձագանքել դրանց, օգտվել «օգնական» և «հաճախ տրվող հարցերի պատասխաններ» ծառայություններից, ծանոթանալ կանոնավորիչ տեղեկատվությանը, գտնել լիազոր մարմինների բաժանմունքները, կոնտակտային տվյալները և այլն», - ասել է վարչապետը՝ խոսելով նաև այս հավելվածում ներառված workpermit.am ծառայությանը, որի միջոցով տրվում են Հայաստանում աշխատանքի և բնակության թույլտվություններ։«Ամբողջ գործընթացը տեղի է ունենում առցանց հարթակում ներկայացված մեկ դիմումի հիման վրա», - շեշտել է գործադիրի ղեկավարը՝ շարունակելով․ - «Թվային գործիքն ապահովում է այս գործընթացում ներգրավված հինգ պետական գերատեսչությունների համակարգված փոխգործակցությունը: Թվային ծառայության միջոցով աշխատանքային պայմանագրի հիման վրա կարելի է նաև ԵԱՏՄ երկրների քաղաքացիների և նրանց ընտանիքների անդամների համար ստանալ ՀՀ-ում բնակության օրինականությունը հավաստող անվճար քարտ։ Հարթակը պարբերաբար կհագեցվի պետական և առևտրային այլ ծառայություններով»։Նիկոլ Փաշինյանը տիկնոջ՝ Աննա Հակոբյանի հետ երեկ է աշխատանքային այցով ժամանել Ալմաթի՝ մասնակցելու Եվրասիական միջկառավարական խորհրդի հերթական նիստին "
ՏՏ ոլորտ,Meta-ին սպառնում է 390 միլիոն եվրո տուգանք," Meta ընկերությանը, որին պատկանում են Facebook և Instagram սոցիալական ցանցերը, սպառնում է 390 միլիոն եվրո տուգանք։ Չորեքշաբթի օրը նման հայտարարությամբ է հանդես եկել անձնական տվյալների պաշտպանության ոլորտի DPC իռլանդական ընկերությունը։Բացի տուգանքը վճարելուց, Meta-ն պետք է փոխի իր քաղաքականությունը սոցիալական ցանցերում անհատականացված գովազդի վերաբերյալ: Տվյալների պաշտպանության եվրոպական առաջատար ընկերության գնահատմամբ՝ Meta-ն անձնական տվյալները օգտագործում է գովազդային նպատակներով:DPC-ի հաղորդագրությունում նշվում է, որ Meta-ն երեք ամսվա ընթացքում պետք է փոխի բաժանորդների անձնական տվյալների հետ աշխատելու իր կանոնները։  "
ՏՏ ոլորտ,2022-ի ամենափնտրվող բառը Wordle-ն է. Google," Անցնող տարվա ամենափնտրվող բառը Wordle-ն է։ Google-ը հրապարակել է իր տարեկան զեկույցը, ըստ որի` 2021-ին ստեղծված այս խաղ-գլուխկոտրուկն ամբողջ աշխարհում ամենաշատ փնտրվող բառն է, այն անգամ առաջ է անցել Մեծ Բրիտանիայի թագուհու մահվանն առնչվող որոնումներից, Ուկրաինա բառից։Այս օնլայն խաղն անցած տարի կայծակնային արագությամբ գրավեց օգտատերերին։ Խաղացողները ամեն օր թաքնված մեկ բառ են փորձում գտնել՝ դրա համար ունենալով միայն 6 փորձ։Խաղը նաև նմանակներ ունի։ Հայերեն տարբերակն էլ կա՝ «Բառդլ»-ը:Ամերիկյան ընկերությունը նաև ամփոփել է ամենաշատ որոնվող աստղերի անունները։ Դերասանների ցանկը գլխավորում է Ջոնի Դեպը՝ նրան շատ սկսեցին փնտրել իր աղմկահարույց ամուսնալուծության ընթացքում։ Հաջորդում է Ուիլ Սմիթը, որի մասին շատ խոսվեց Օսկարի մրցանակաբաշխության ժամանակ դերասան Քրիս Ռոքին ապտակելուց հետո։   "
ՏՏ ոլորտ,ՏՏ ոլորտի ներկայացուցչի խոսքով՝ կառավարության աջակցությունը փոքր-ինչ ուշացած է. կան փակված ընկերություններ," Շուրջ 25 միլիոն դոլար՝ տեղեկատվական տեխնոլոգիաներին. դրամի արժևորումից մեծ կորուստներ կրող IT ոլորտի տևական դժգոհություններից ու ահազանգերից հետո կառավարությունն այսօր աջակցություն տրամադրելու որոշում ընդունեց:«Աջակցության տրամադրումը հնարավորություն կընձեռի պահպանել աշխատատեղերը՝ միաժամանակ չկրճատելով աշխատակիցների աշխատավարձերը, որով պոտենցիալ կստեղծվի կազմակերպությունների ադապտացվելու և ապագայում զարգանալու համար», - նախագիծը ներկայարցեց բարձր տեխնոլոգիական արդյունաբերության նախարար Ռոբերտ Խաչատրյանը:Ռազմավարական հռչակված տեղեկատվական տեխնոլոգիաների ոլորտի ընկերությունների ահազանգերի պատճառը գարնանից դրամի նկատմամբ դոլարի էական արժեզրկումն է։ Այս ընկերությունները իրենց արտադրանքը հիմնականում դրսում են վաճառում կամ արտասահմանյան ընկերություններին ծառայություններ մատուցում։ Էժան դոլարի հետևանքով նրանց ֆինանսական մուտքերը նվազել են։Ոլորտին աջակցելու հարցը գործադիրում վաղուց էր քննարկվում, բայց միայն տարեվեջին որոշում կայացվեց: Վարչապետ Փաշինյանն ասում է՝ բազմաթիվ քննարկումների արյդունքում օգնության այս տարբերակն են ճիշտ համարել. «Չեմ կարող ասել կոնսենսուսային, բայց բազում քննարկումների արդյունքում եկել ենք, որ ռացիոնալ տարբերակը հենց այս տարբերական է, և մենք տեղեկատվական տեխնոլոգիաների ոլորտին 10 միլիարդ դրամի աջակցություն ենք ցուցաբերում, որը, մեր գնահատմամբ, էականորեն կմեծացնի ոլորտի մրցունակությունը, նկատի ունեմ միջազգային շուկայում»:Պետական աջակցության արդյունքում այս տարվա հունիսից հոկտեմբեր ամիսներին IT ընկերությունների վճարած եկամտային հարկի մինչև 95 տոկոսը կվերադարձվի։ Դիմել, սակայն, կկարողանան ոչ բոլորը։ Գործադիրը մի շարք չափորոշիչներ է սահմանել. օրինակ՝ այդ ժամանակահատվածում ընկերությունների աշխատավարձային ֆոնդը 20 տոկոսից ավելի չպետք է կրճատված լինի:«Ներկայացված որոշմամբ առաջարկվում է պետական աջակցություն տրամարդել ՏՏ ոլորտի այն կազմակերպություններին ու անհատ ձեռնարկատերերին, որոնք 2022 թվականի հունիսից հոկտեմբեր ամիսներին իրենց աշխատակիցներին վճարվող աշխատավարձային ֆոնդը 20 տոկոսից ավելի չեն կրճատել, ինչպես նաև իրենց կողմից արտերկիր արտահանվող ծառայությունների ծավալը աջակցության տրամադրման ժամանակահատվածում կազմել է իրացման շրջանառության առնվազն 70 տոկոսը», - մանրամասնեց նախարարը:«Վերջապես որոշում կայացրին ու ինչ-որ քայլ արեցին, որովհետև դա ևս կարևոր էր: Մինչ այդ անտարբերություն էինք զգում, բայց միևնույն ժամանակ ուզում եմ ասել, որ որոշումը, կարծես թե, մի քիչ ուշացած է», - «Ազատության» հետ զրույցում նշեց արտասահմանյան հաճախորդների համար համակարգչային ու բջջային ծրագրեր պատրաստող «Էսթերոքս» ընկերության հիմնադիր տնօրեն Արմեն Ադամյանը:Ըստ նրա՝ ընկերությունում հիմա հաշվարկներ են անում՝ կկարողանան օգտվել աջակցությունից, թե ոչ։ Արմեն Ադամյանն ասաց՝ եթե ավելի վաղ իմանային, որ պետական օժանդակություն է լինելու, ճգնաժամային այս շրջանում այլ որոշումներ կկայացնեին։ Կրճատումներ են ունեցել՝ գուցե իրենք ծրագրից դուրս մնան. «Եթե, օրինակ, ավելի շուտ ասվեր, որ այսպիսի բան պետք է լինի, ոնց որ ավելի դուխով գնացեք առաջ, շատ լավ, հիմա պատկերացրեք, որ կան ընկերություններ, որ շատ փոքրացել են, կան, որ ընդհանրապես արդեն փակվել են: Այդ ընկերություններին փաստորեն սա չի օգնելու», - շեշտեց նա:Տնտեսագետ Սուրեն Պարսյանը կարծում է, որ փոքրաթիվ ընկերություններ կկարողանան օգտվել այս ծրագրից։ Նրա գնահատմամբ՝ սահմանված չափորոշիչներն արդար չեն. «Միանշանակ համաձայն եմ, որ պետք է մտածվեր նոր մոտեցումներ աջակցության, բայց այս մոտեցումը, որ նրանք բերեցին, հիմնավորումները թույլ են, խտրական են»:Դրամի արժևորման պատճառով միայն ՏՏ ոլորտը չէ, որ տուժել է. անցնող ամիսներին նույնաբովանդակ ահազանգեր էին հնչում արտահանմամբ զբաղվող այլ ոլորտներից ևս։ «Օրինակ՝ գինեգործությունը, երշիկի, կաթնամերքի արտադրությունը, որոնք հիմա անկում ունեն 8-9 ամիսների հաշվարկով, այս ոլորտներին կառավարությունը որևէ աջակցություն չի ցուցաբերել, և այստեղ, անշուշտ, ոլորտային խտրականություն կա», - նշեց տնտեսագետը:IT ընկերություններն ասում են՝ 4 ամսվա եկամտահարկի մասնակի վերադարձը կարճաժամկետ լուծում է, տնտեսական նույն միտումների պահպանման դեպքում գործադիրն ավելի երկարաժամկետ ծրագրեր պետք է մշակի։ "
ՏՏ ոլորտ,Դրամի համեմատ դոլարի կտրուկ արժեզրկման պատճառով հայաստանյան ՏՏ ոլորտը լրջագույն խնդիրների է բախվել," Դրամի համեմատ դոլարի կտրուկ արժեզրկման պատճառով հայաստանյան ՏՏ ոլորտը լրջագույն խնդիրների է բախվել, շատ ընկերություններ բարձրաձայնում են փակվելու վտանգի մասին։Արտասահմանյան հաճախորդների համար համակարգչային ու բջջային ծրագրեր պատրաստող «Էսթերոքս» ընկերության հիմնադիր-տնօրեն Արմեն Ադամյանի խոսքով՝ դոլարի արժեզրկման պատճառով հիմա ոչ միայն չեն կարող ընդլայնել 40 աշխատակից ունեցող բիզնեսը, այլև պահուստային միջոցների հաշվին են աշխատում։«Մեր ունեցած նախորդ պահուստների հաշվին հիմա կարելի է ասել դիմակայում ենք, որը անվերջ հնարավոր չի: Այո, կարող ենք 6 ամիս և այլն դիմակայել, բայց հնարավոր չի», - ասաց Ադամյանը:Ռուս-ուկրաինական պատերազմից հետո ռուսաստանցիների ու նրանց ֆինանսական միջոցների մեծ ներհոսքը հանգեցրեց դրամի կտրուկ արժևորման։ Եթե տարեսկզբին Հայաստանում մեկ դոլարն արժեր շուրջ 480 դրամ, ապա այժմ բանկերն այն վաճառում են 402 դրամով։ Սա խիստ հարվածել է արտասահմանյան գործընկերների հետ դոլարով աշխատող անհատներին ու կազմակերպություններին։«Մենք էլ մեր քաղաքականությունն ենք անում, նոր գործընկերներ ենք ման գալիս, որ կարողանանք ավելի շատ դիմակայել, բայց եթե էս վիճակում գնաց, արդեն հետ ենք գնում էլի», - ընդգծեց Ադամյանը:ՏՏ ընկերությունները կառավարությունից աջակցություն են ակնկալում. Արմեն Ադամյանի խոսքով իրենց խոստումներ են տվել. «Հինգ ամիս առաջ են եղել հանդիպումներ կառավարության հետ, Կենտրոնական բանկի հետ, խոստացվել է, որ ինչ-որ բաներ կարվեն, բայց մինչև հիմա դեռ ոչ մի արդյունք չունենք»:Ի՞նչ է անում գործադիրը Հայաստանում ամենահեռանկարայինը հռչակված ոլորտի հոգսը թեթևացնելու համար։ Վերջերս հայտնի դարձավ Էկոնոմիկայի նախարարության առայժմ քննարկվող մի նախագծի մասին, որով IT ընկերություններին արտոնություններ կտան՝ որոշակի ժամանակահատվածով վերադարձնելով նրանց վճարած եկամտահարկը։ Նախագիծը դեռ մշակման փուլում է, շատ մանրամասներ դեռ չի հաղորդվում։«Դա արագ լուծման տարբերակներից մեկն է և իր պարզ մեկնաբանությունը ունի՝ երբ որ եկամտահարկը նայում ենք 20 քանի տոկոս է և դոլարը քսան քանի տոկոսով ընկել է, ոնց որ եղավ այդ ընկածի փոխհատուցում էլի, իրար հետ նմանեցվող բաներ են, բայց կարծում եմ, որ դա երկարաժամկետ լուծում չէ», - նշեց «Էսթերոքս» ընկերության հիմնադիր-տնօրենը:«Խոսքը գնում է չորս ամսվա եկամտային հարկի վերադարձը՝ շուրջ 16 միլիարդ դրամի մասին: իմ կարծիքով՝ այդ մեծ ծավալի աջակցությունն այդքան էլ արդարացված չէ», - ասաց տնտեսագետ Հայկազ Ֆանյանը:Տնտեսագետի կարծիքով՝ մեկ ոլորտին այսչափ աջակցություն տրամադրելը արդար չէ, մասսայական օգնությունն, ըստ նրա, այժմ ոչ նպատակահարմար է. «Կառավարության աջակցությունը թիրախային պետք է լինի, վերջին հաշվով մարդիկ, որ զբաղվում են նաև բիզնեսով նաև պետք է մտածեն իրենց արտադրության ռիսկերի մասին և փորձեն միջոցներ ձեռնարկել այդ արտարժութային ռիսկերը զսպելու նպատակով»:Իսկ աջակցության ի՞նչ այլ գործիքներ կարող է կիրառել գործադիրը։ Տնտեսագետ Հայկազ Ֆանյանը մի քանիսն է թվարկում՝ հարկային արձակուրդ, արտոնյալ վարկեր, սուբսիդիաներ։ Մեխանիզմերը բազմազան են, ասում է փորձագետը:«Ուղղակի պետք է հասկանալ մի քանի բան՝ կառավարությունը ինչքան իրեն կարող է թույլ տալ, ինչ նպատակի համար է դա իրականցվում, ինչքանով է դա արդյունավետ», - ընդգծեց Ֆանյանը:Տնտեսագետները համոզված են՝ տուժած ոլորտներին աջակցելու համար դոլարի արհեստական թանկացումը նույնպես լուծում չէ, սա էլ ավելի մեծ թանկացումների կհանգեցնի՝ հարվածելով սոցիալապես ոչ ապահով շերտին։Դրամի կայունության ու գնաճի վերահսկման պատասխանատու Կենտրոնական բանկն անցնող ամիսների ընթացքում պարբերաբար հայտարարում է՝ եթե միջամտեին փոխարժեքի շուկային ու փորձեին էժանացնել դրամը։ Գնաճը շատ ավելի բարձր կլիներ։ Հրապարակված վերջին տվյալներով՝ 12-ամյսա գնաճը 9.5 տոկոս է կազմում։ Գլխավոր դրամատան կանխատեսմամբ՝ թանկացումները շարունակվելու են։  "
ՏՏ ոլորտ,Meta ընկերությունում այս շաբաթ խոշոր կրճատումներ են նախատեսվում," Մարկ Ցուկերբերգին պատկանող Meta Platforms ընկերությունը, որի մաս են կազմում Facebook-ը, Messenger-ը, Instagram-ը, WhatsApp-ը և Oculus-ը, պետք է այս շաբաթ հայտարարի մեծ թվով ծառայողների աշխատանքից ազատելու մասին:Ենթադրվում է, որ որոշումը կտարածվի հազարավոր աշխատակիցների վրա: Ըստ ընկերության տնտեսագետների, հաջորդ տարի ընկերության ծախսերը զգալիորեն կավելանան, ինչը կհանգեցնի մոտ 67 միլիարդ դոլարի կորստի արժեթղթերի շուկայում:Ցուկերբերգը վերջերս արգելել է նոր ծառայողներ վարձել և կարգադրել է միջոցներ ձեռնարկել ծախսերը կրճատելու համար:Meta-ի ցուցիչները շուկաներում թուլացել են, այդ ընկերության հիմնական մրցակիցը հիմա համարվում է TikTok չինական ընկերությունը:Meta -ն մեծ գումարներ է տրամադրում «մետատիեզերքի» հայեցակարգի շրջանակներում «վիրտուալ իրականության» զարգացման ծրագրին:Ցուկերբերգն ասել է, թե իր կարծիքով, մեկ տասնամյակ է անհրաժեշտ այդ ներդրումներից եկամուտ ստանալու համար:Օրեր առաջ խոշոր կրճատումների մասին է հայտնել Իլոն Մասկի սեփականությունը դարձած Twitter ընկերությունը: "
ՏՏ ոլորտ,Այսօր Twitter-ը պետք է հայտնի հազարավոր ծառայողների աշխատանքից ազատելու մասին," Իլոն Մասկի սեփականությունը դարձած Twitter ընկերությունում մեկ շաբաթ տևած անորոշությունից հետո այսօր պետք է վճիռ կայացվի մեծ թվով աշխատակիցների պաշտոնանկ անելու, գրասենյակները ժամանակավոր փակելու և ծառայողների մուտքը ժամանակավոր արգելափակելու մասին:Միկրոբլոգների և սոցիալական ցանցի ծառայություններ ապահովող ընկերության բարձրաստիճան ղեկավարների որոշման մասին ծառայողներին կտեղեկացնեն էլեկտրոնային նամակով: Ենթադրվում է, որ 7.5 հազար ծառայողներից մոտ 3.7 հազարը կազատվեն աշխատանքից:Մասկը հայտնել է, որ «ընկերությունն ունի առողջացման կարիք»: Նա այդ մասին պնդել է դեռ ընկերությյունը գնելու գործարքից առաջ: Մի շարք բարձրաստիճան պաշտոնյաներ արդեն ազատվել են աշխատանքից:«Մենք գիտենք, որ ցավ պատճառող որոշումներ կընդունվեն, դրանցից կտուժեն ընկերության զարգացման համար մեծ ջանքեր գործադրած մարդիկ, բայց այս քայլերն անհրաժեշտ են ընկերությունն առաջ տանելու համար»,- ասվում է նամակում, որը վերջերս ստացել են Twitter-ի մի շարք աշխատակիցներ:Մասկը պահանջել է մեկ միլիարդ դոլարով կրճատել ընկերության ծախսերը: Նա ընկերությունը գնել է 44 միլիարդ դոլարով: "
ՏՏ ոլորտ,ՏՏ ոլորտում առաջացած ճգնաժամը խորանում է. ըստ ներկայացուցիչների՝ ընկերություններ են փակվում," Դոլարի կտրուկ արժեզրկման հետևանքով հիմնականում արտահանմամբ զբաղվող տեղեկատվական տեխնոլոգիաների ոլորտում առաջացած ճգնաժամն արդեն կես տարուց ավելի է՝ ոչ միայն չի կարգավորովում, այլև խորանում է։ Ոլորտի ներկայացուցիչները փաստում են՝ ստեղծված իրավիճակի պատճառով ընկերություններ են փակվում, ֆինանսական նոր մարտահրավերներ են առաջանում։Տնտեսության համար ռազմավարական նշանակություն ու հարկային մեծ հոսքեր բերող համայնքում տարակուսած են՝ ինչի՞ է սպասում կառավարությունը, ինչո՞ւ ոչ մի գործնական քայլ չի ձեռնարկել անցած 7 ամիսների ընթացքում։«Անհասկանալի է՝ ոնց ա ստացվում, որ իրենց համար մեկ է՝ ինչ վնասներ է կրում ոլորտը դրանից», - ասում է Ինստիգեյթ ընկերությունների խմբի ղեկավար Արման Պողոսյանը:Դոլարով շահույթ ստացող ու արտահանմամբ զբաղվող ավելի քան մեկ տասնյակ ծրագրավորման, ռոբոտաշինության ընկերություններ համախմբող Ինստիգեյթի ղեկավարի խոսքով՝ որոշ ընկերություններ անգամ վարկեր են վերցրել, որ շարունակեն գործունեությունը,ֆինանսական զգալի կորուստների պատճառով ստիպված են կրթության, գիտահետազոտական ոլորտներում ներդրումները նվազեցնել։«Մենք իրականացնում ենք մոտավորապես 200 միլիոն դոլարի տարեկան ներդրումներ, որը խիստ տուժում է նրանից, որ մեր եկամուտները պակասում են: Մենք իրականացնում ենք թրեյնինգներ, մոտ երկու հազար հոգի մեր հաշվին այս վերջին 15 տարում մենք մտցրել ենք ոլորտ, այսինքն՝ եկել են ուրիշ մասնագիտության տեր մարդիկ, որոնք սովորել են IT ու մտել են IT ոլորտ: Ամեն պահի մոտավորապես 40 հոգի Ինստիգեյթ թրեյնինգ կենտրոններում տարբեր շրջաններում Հայաստանի մեր հաշվին սովորում են ու մտնում են ոլորտ: Դա նույնպես բավականին մեծ վնասներ է կրում», - ասաց նա: Թե դոլարի կտրուկ արժեզրկման պատճառով վերջին ամիսների ընթացքում քանի ՏՏ ընկերություն է փակվել, կամ ոլորտում որքան է կորուստը, պաշտոնական վիճակագրություն դեռ չկա։Տեղեկատվական տեխնոլոգիաների համայնքում ակնկալում էին, որ կառավարությունն իրենց խնդրին ուշադրություն կդարձներ ու կփորձեր լուծումներ գտնել։ Ասում են՝ գործադիրում խնդրի միջանկյալ լուծումը գտել են՝ եկամտահարկի չափով սուբսիդավորում են նախատեսում, սակայն առաջարկն այդպես էլ իրականություն չի դառնում: Չգիտեն՝ ինչու։ Օրենսդրական նախագիծը մշակվել ու այդպես էլ մնացել է, տեղաշարժ չկա։«Այս պայմանների շարունակական վատթարացումը տանում է շատ-շատ ընկերությունների կործանման: Այս մոտեցումը անընդունել է, այս անտարբերությունը՝ առավել ևս, և անհրաժեշտ է քայել ձեռնարկել, որպեսզի այս ամենը կանխվի», - շեշտեց ԼայմՏեխ ընկերությունից Գևորգ Սաֆարյանը:«Կազմակերպությունները, որոնք տասնյակ տարիներ բնական միջավայրում զարգացել են և փորձել են ստեղծել համակարգեր, թիմեր, որոնք բարդ խնդիրներ են լուծում, կանգնած են քայքայման եզրին», - հավելեց ՎՕԼՕ ընկերությունը ներկայացնող Արմեն Քոչարյանը:Թե ինչու են հապաղում, ինչու ճգնաժամային իրավիճակում ոչ մի գործնական քայլ չի իրականացվում ավելի քան կես տարի անց, ոլորտը կարգավորող Էկոնոմիկայի նախարարությունից այսօր հրաժարվեցին պատասխանել՝ պատճառաբանությամբ, թե իրենց օրենսդրական առաջարկը դեռ փոփոխությունների պետք է ենթարկվի։ՏՏ համայնքից այս տարվա 2-րդ եռամսյակում 1000 խոշոր հարկատուների ցանկում 39 ընկերություն է ընդգրկվել, դրանք ավելի քան 25 մլրդ դրամի հարկեր են պետբյուջե բերել։ Ոլորտում հարկերը կարող էին էլ ավելի լինել ու աճել, սակայն IT ընկերությունների ներկայացուցիչները կասկած չունեն՝ եթե պետությունը շարունակի նույն քաղաքականությունը, ապա դրանք ոչ միայն չեն ավելանա, այլև կնվազեն, իսկ դրա հետևանքով շատ ընկերություններ կփակվեն, բարձրորակ շատ մասնագետներ կհեռանան երկրից։    "
ՏՏ ոլորտ,Իլոն Մասկը 44 մլրդ դոլարով գնել է Թվիթերը," Tesla և SpaceX ընկերությունների սեփականատեր Իլոն Մասկը 44 մլրդ դոլարով ձեռք է բերել Թվիթերը՝ գործարքից անմիջապես հետո հեռացնելով ընկերության բարձր ղեկավարությանը։Ամերիկացի միլիարդատերը և նորարարը Թվիթերի իր միկրոբլոգում ավելի վաղ նշել էր, որ ընկերության ղեկավարն է։«Թռչունն ազատված է», - գրել է նա Թվիթերում։Մասկն ավելի վաղ ասել էր, որ սոցիալական ցանցը, որն ինքը հաճախ է քննադատել, պետք է մասնավորեցվի արդյունավետ բարեփոխումներ իրականացնելու համար: Սակայն, նա դեռ մանրամասներ չի ներկայացրել, թե ինչպես է հասնելու այդ ամենին և ով է ղեկավարելու ընկերությունը։Մասկը հայտնել է, որ ծրագրում է կրճատել ընկերության աշխատատեղերը։ Նա նաև ասել է, թե գնել է Թվիթերը ոչ թե ավելի շատ փող աշխատելու, այլ «փորձելու օգնել մարդկությանը, ում սիրում եմ»:Մասկը պաշտոնանկ է արել Թվիթերի գործադիր տնօրեն Պարագ Ագրավալին, ֆինանսական տնօրեն Նեդ Սիգալին և իրավական հարցերով և քաղաքականության ղեկավար Վիջայա Գադեին՝ խնդրին ծանոթ մարդկանց:Նա նրանց մեղադրել է իրեն և Թվիթերի ներդրողներին հարթակում կեղծ հաշիվների քանակի հետ կապված մոլորության մեջ գցելու համար։Մասկը, ով նաև ղեկավարում է SpaceX հրթիռային ընկերությունը, ծրագրում է դառնալ Թվիթերի գործադիր տնօրենը գործարքը վերջնականապես ավարտին հասցնելուց հետո, ինչպես նաև նախատեսում է չեղարկել օգտատերերի մշտական արգելքները, հաղորդում է Bloomberg-ը՝ վկայակոչելով իր աղբյուրին: "
